Id,Receiving Time,Generated Time,Service Facility,IPv4 Address,DeviceVendor,DeviceProduct,DeviceVersion,SignatureID,Name,Severity,EventId
0,2021-08-04 10:31:4,2021-08-04 10:31:47,Syslog.Info,172.20.0.10,Trend Micro,Deep Security Manager,20.0.414,927,Smart Protection Server Connected for Smart Scan,3,0
1,2021-08-04 10:31:5,2021-08-04 10:31:50,Syslog.Info,172.20.0.10,Trend Micro,Deep Security Manager,20.0.414,927,Smart Protection Server Connected for Smart Scan,3,1
2,2021-08-04 10:40:5,2021-08-04 10:40:57,Syslog.Info,172.20.0.10,Trend Micro,Deep Security Manager,20.0.414,710,Events Retrieved,3,2
3,2021-08-04 11:59:1,2021-08-04 11:59:11,Syslog.Info,172.20.0.10,Trend Micro,Deep Security Manager,20.0.414,600,User Signed In,3,3
4,2021-08-04 11:59:1,2021-08-04 11:59:11,Syslog.Info,172.20.0.10,Trend Micro,Deep Security Manager,20.0.414,610,User Session Validated,3,4
5,2021-08-04 11:59:1,2021-08-04 11:59:11,Syslog.Info,172.20.0.10,Trend Micro,Deep Security Manager,20.0.414,610,User Session Validated,3,5
6,2021-08-04 13:59:0,2021-08-04 13:59:09,Syslog.Info,172.20.0.10,Trend Micro,Deep Security Manager,20.0.414,602,User Timed Out,3,6
7,2021-08-04 14:21:5,2021-08-04 14:21:58,Syslog.Info,172.20.0.10,Trend Micro,Deep Security Manager,20.0.414,927,Smart Protection Server Connected for Smart Scan,3,7
8,2021-08-04 14:22:0,2021-08-04 14:22:08,Syslog.Info,172.20.0.10,Trend Micro,Deep Security Manager,20.0.414,927,Smart Protection Server Connected for Smart Scan,3,8
9,2021-08-04 15:25:4,2021-08-04 15:25:49,Syslog.Info,172.20.0.10,Trend Micro,Deep Security Manager,20.0.414,927,Smart Protection Server Connected for Smart Scan,3,9
10,2021-08-04 15:26:0,2021-08-04 15:26:00,Syslog.Info,172.20.0.10,Trend Micro,Deep Security Manager,20.0.414,927,Smart Protection Server Connected for Smart Scan,3,10
11,2021-08-04 15:39:3,2021-08-04 15:39:32,Syslog.Info,172.20.0.10,Trend Micro,Deep Security Manager,20.0.414,600,User Signed In,3,11
12,2021-08-04 15:39:3,2021-08-04 15:39:32,Syslog.Info,172.20.0.10,Trend Micro,Deep Security Manager,20.0.414,610,User Session Validated,3,12
13,2021-08-04 15:39:3,2021-08-04 15:39:32,Syslog.Info,172.20.0.10,Trend Micro,Deep Security Manager,20.0.414,610,User Session Validated,3,13
14,2021-08-04 15:39:3,2021-08-04 15:39:37,Syslog.Info,172.20.0.10,Trend Micro,Deep Security Manager,20.0.414,610,User Session Validated,3,14
15,2021-08-04 15:39:3,2021-08-04 15:39:37,Syslog.Info,172.20.0.10,Trend Micro,Deep Security Manager,20.0.414,610,User Session Validated,3,15
16,2021-08-04 15:41:4,2021-08-04 15:41:47,Syslog.Info,172.20.0.10,Trend Micro,Deep Security Manager,20.0.414,610,User Session Validated,3,16
17,2021-08-04 15:41:5,2021-08-04 15:41:52,Syslog.Info,172.20.0.10,Trend Micro,Deep Security Manager,20.0.414,610,User Session Validated,3,17
18,2021-08-04 15:41:5,2021-08-04 15:41:52,Syslog.Info,172.20.0.10,Trend Micro,Deep Security Manager,20.0.414,610,User Session Validated,3,18
19,2021-08-04 15:41:5,2021-08-04 15:41:52,Syslog.Info,172.20.0.10,Trend Micro,Deep Security Manager,20.0.414,610,User Session Validated,3,19
20,2021-08-04 15:41:5,2021-08-04 15:41:52,Syslog.Info,172.20.0.10,Trend Micro,Deep Security Manager,20.0.414,610,User Session Validated,3,20
21,2021-08-04 15:41:5,2021-08-04 15:41:52,Syslog.Info,172.20.0.10,Trend Micro,Deep Security Manager,20.0.414,610,User Session Validated,3,21
22,2021-08-04 15:41:5,2021-08-04 15:41:52,Syslog.Info,172.20.0.10,Trend Micro,Deep Security Manager,20.0.414,610,User Session Validated,3,22
23,2021-08-04 15:41:5,2021-08-04 15:41:52,Syslog.Info,172.20.0.10,Trend Micro,Deep Security Manager,20.0.414,610,User Session Validated,3,23
24,2021-08-04 15:42:0,2021-08-04 15:42:08,Syslog.Info,172.20.0.10,Trend Micro,Deep Security Manager,20.0.414,610,User Session Validated,3,24
25,2021-08-04 15:42:1,2021-08-04 15:42:13,Syslog.Info,172.20.0.10,Trend Micro,Deep Security Manager,20.0.414,610,User Session Validated,3,25
26,2021-08-04 15:43:2,2021-08-04 15:43:28,Syslog.Info,172.20.0.10,Trend Micro,Deep Security Manager,20.0.414,610,User Session Validated,3,26
27,2021-08-04 15:43:5,2021-08-04 15:43:53,Syslog.Info,172.20.0.10,Trend Micro,Deep Security Manager,20.0.414,610,User Session Validated,3,27
28,2021-08-04 15:43:5,2021-08-04 15:43:53,Syslog.Info,172.20.0.10,Trend Micro,Deep Security Manager,20.0.414,610,User Session Validated,3,28
29,2021-08-04 15:43:5,2021-08-04 15:43:58,Syslog.Info,172.20.0.10,Trend Micro,Deep Security Manager,20.0.414,610,User Session Validated,3,29
30,2021-08-04 15:43:5,2021-08-04 15:43:58,Syslog.Info,172.20.0.10,Trend Micro,Deep Security Manager,20.0.414,610,User Session Validated,3,30
31,2021-08-04 15:43:5,2021-08-04 15:43:58,Syslog.Info,172.20.0.10,Trend Micro,Deep Security Manager,20.0.414,610,User Session Validated,3,31
32,2021-08-04 15:43:5,2021-08-04 15:43:58,Syslog.Info,172.20.0.10,Trend Micro,Deep Security Manager,20.0.414,610,User Session Validated,3,32
33,2021-08-04 15:43:5,2021-08-04 15:43:58,Syslog.Info,172.20.0.10,Trend Micro,Deep Security Manager,20.0.414,610,User Session Validated,3,33
