['2021-08-04 11:59:11\tSyslog.Info\t172.20.0.10\t2021-08-04T11:59:06+05:00 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '610', 'User Session Validated', '3', 'src=172.20.0.10 suser=System target=MasterAdmin msg=IP: 172.16.3.5 TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-04 11:59:11\tSyslog.Info\t172.20.0.10\t2021-08-04T11:59:06+05:00 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '610', 'User Session Validated', '3', 'src=172.20.0.10 suser=System target=MasterAdmin msg=IP: 172.16.3.5 TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-04 15:39:32\tSyslog.Info\t172.20.0.10\t2021-08-04T15:39:30+05:00 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '610', 'User Session Validated', '3', 'src=172.20.0.10 suser=System target=MasterAdmin msg=IP: 172.16.3.5 TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-04 15:39:32\tSyslog.Info\t172.20.0.10\t2021-08-04T15:39:30+05:00 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '610', 'User Session Validated', '3', 'src=172.20.0.10 suser=System target=MasterAdmin msg=IP: 172.16.3.5 TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-04 15:39:37\tSyslog.Info\t172.20.0.10\t2021-08-04T15:39:33+05:00 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '610', 'User Session Validated', '3', 'src=172.20.0.10 suser=System target=MasterAdmin msg=IP: 172.16.3.5 TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-04 15:39:37\tSyslog.Info\t172.20.0.10\t2021-08-04T15:39:36+05:00 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '610', 'User Session Validated', '3', 'src=172.20.0.10 suser=System target=MasterAdmin msg=IP: 172.16.3.5 TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-04 15:41:47\tSyslog.Info\t172.20.0.10\t2021-08-04T15:41:43+05:00 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '610', 'User Session Validated', '3', 'src=172.20.0.10 suser=System target=MasterAdmin msg=IP: 172.16.3.5 TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-04 15:41:52\tSyslog.Info\t172.20.0.10\t2021-08-04T15:41:49+05:00 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '610', 'User Session Validated', '3', 'src=172.20.0.10 suser=System target=MasterAdmin msg=IP: 172.16.3.5 TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-04 15:41:52\tSyslog.Info\t172.20.0.10\t2021-08-04T15:41:50+05:00 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '610', 'User Session Validated', '3', 'src=172.20.0.10 suser=System target=MasterAdmin msg=IP: 172.16.3.5 TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-04 15:41:52\tSyslog.Info\t172.20.0.10\t2021-08-04T15:41:50+05:00 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '610', 'User Session Validated', '3', 'src=172.20.0.10 suser=System target=MasterAdmin msg=Description Omitted TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-04 15:41:52\tSyslog.Info\t172.20.0.10\t2021-08-04T15:41:51+05:00 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '610', 'User Session Validated', '3', 'src=172.20.0.10 suser=System target=MasterAdmin msg=Description Omitted TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-04 15:41:52\tSyslog.Info\t172.20.0.10\t2021-08-04T15:41:51+05:00 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '610', 'User Session Validated', '3', 'src=172.20.0.10 suser=System target=MasterAdmin msg=Description Omitted TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-04 15:41:52\tSyslog.Info\t172.20.0.10\t2021-08-04T15:41:51+05:00 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '610', 'User Session Validated', '3', 'src=172.20.0.10 suser=System target=MasterAdmin msg=Description Omitted TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-04 15:41:52\tSyslog.Info\t172.20.0.10\t2021-08-04T15:41:51+05:00 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '610', 'User Session Validated', '3', 'src=172.20.0.10 suser=System target=MasterAdmin msg=Description Omitted TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-04 15:42:08\tSyslog.Info\t172.20.0.10\t2021-08-04T15:42:05+05:00 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '610', 'User Session Validated', '3', 'src=172.20.0.10 suser=System target=MasterAdmin msg=IP: 172.16.3.5 TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-04 15:42:13\tSyslog.Info\t172.20.0.10\t2021-08-04T15:42:07+05:00 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '610', 'User Session Validated', '3', 'src=172.20.0.10 suser=System target=MasterAdmin msg=IP: 172.16.3.5 TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-04 15:43:28\tSyslog.Info\t172.20.0.10\t2021-08-04T15:43:26+05:00 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '610', 'User Session Validated', '3', 'src=172.20.0.10 suser=System target=MasterAdmin msg=IP: 172.16.3.5 TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
