['2021-08-04 15:52:36\tSyslog.Info\t172.20.0.10\tAug  4 15:52:34 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '720', 'Policy Sent', '3', 'src=172.20.0.10 suser=System target=172.20.0.30 (FS) msg=The policy (fingerprint 84:5F:D1:21:DA:98:F8:52:BC:CE:22:CC:91:6B:5E:AC:14:EC:CE:71) was successfully sent to the agent. TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-04 15:52:41\tSyslog.Info\t172.20.0.10\tAug  4 15:52:35 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '720', 'Policy Sent', '3', 'src=172.20.0.10 suser=System target=172.20.0.20 (AD) msg=The policy (fingerprint 2B:9E:D4:AD:5B:50:1C:F8:37:4F:9C:00:C5:FC:E5:57:81:5E:3F:C0) was successfully sent to the agent. TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-04 15:53:01\tSyslog.Info\t172.20.0.10\tAug  4 15:52:59 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '720', 'Policy Sent', '3', 'src=172.20.0.10 suser=System target=192.168.90.10 msg=The policy (fingerprint 93:1C:BC:C6:AC:BF:58:21:89:E1:0D:88:66:0A:8E:21:CD:1B:C6:27) was successfully sent to the agent. TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-04 15:53:01\tSyslog.Info\t172.20.0.10\tAug  4 15:52:59 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '720', 'Policy Sent', '3', 'src=172.20.0.10 suser=System target=172.19.0.36 msg=The policy (fingerprint D1:05:B8:33:BA:44:2B:B3:A8:DE:48:0E:86:2D:63:50:94:E9:16:6C) was successfully sent to the agent. TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-04 15:53:01\tSyslog.Info\t172.20.0.10\tAug  4 15:53:00 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '720', 'Policy Sent', '3', 'src=172.20.0.10 suser=System target=192.168.90.11 msg=The policy (fingerprint 20:3D:53:41:1D:4D:64:CF:1E:8C:8F:A2:2D:A5:10:FE:AA:D3:6E:68) was successfully sent to the agent. TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-04 15:53:01\tSyslog.Info\t172.20.0.10\tAug  4 15:53:00 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '720', 'Policy Sent', '3', 'src=172.20.0.10 suser=System target=172.19.0.34 msg=The policy (fingerprint 5E:9E:0E:A8:19:AB:C1:0D:3E:F1:B9:9E:E4:BF:55:A2:EB:1D:CB:60) was successfully sent to the agent. TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-04 15:53:01\tSyslog.Info\t172.20.0.10\tAug  4 15:53:00 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '720', 'Policy Sent', '3', 'src=172.20.0.10 suser=System target=172.19.0.33 msg=The policy (fingerprint 70:2D:54:85:B4:12:15:7D:03:28:EE:38:30:1A:FE:EA:10:59:A7:2B) was successfully sent to the agent. TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-04 15:53:01\tSyslog.Info\t172.20.0.10\tAug  4 15:53:00 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '720', 'Policy Sent', '3', 'src=172.20.0.10 suser=System target=192.168.80.2 msg=The policy (fingerprint 02:7D:A0:9B:C7:58:5A:43:7E:E8:6C:E9:35:AE:69:1B:36:D3:2F:35) was successfully sent to the agent. TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-04 15:53:01\tSyslog.Info\t172.20.0.10\tAug  4 15:53:00 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '720', 'Policy Sent', '3', 'src=172.20.0.10 suser=System target=192.168.90.12 msg=The policy (fingerprint 2C:D7:EC:25:C4:37:19:45:D2:EA:F1:25:96:EA:C4:98:72:56:6F:4E) was successfully sent to the agent. TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-04 15:53:01\tSyslog.Info\t172.20.0.10\tAug  4 15:53:00 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '720', 'Policy Sent', '3', 'src=172.20.0.10 suser=System target=172.19.0.32 msg=The policy (fingerprint 83:F2:13:BF:7E:12:07:C6:ED:FA:D0:B7:08:06:3D:E2:53:49:2C:59) was successfully sent to the agent. TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-04 15:53:06\tSyslog.Info\t172.20.0.10\tAug  4 15:53:00 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '720', 'Policy Sent', '3', 'src=172.20.0.10 suser=System target=172.19.0.37 msg=The policy (fingerprint 3E:FE:B9:FE:10:4A:3A:22:61:B6:5B:23:A2:B4:94:EC:3D:CC:FC:01) was successfully sent to the agent. TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-04 15:53:06\tSyslog.Info\t172.20.0.10\tAug  4 15:53:00 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '720', 'Policy Sent', '3', 'src=172.20.0.10 suser=System target=172.19.0.39 msg=The policy (fingerprint 61:D1:D2:C9:9B:B3:4F:50:3C:DA:8F:E5:99:F5:A5:29:4B:02:7F:18) was successfully sent to the agent. TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-04 15:53:06\tSyslog.Info\t172.20.0.10\tAug  4 15:53:01 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '720', 'Policy Sent', '3', 'src=172.20.0.10 suser=System target=172.19.0.38 msg=The policy (fingerprint ED:00:62:9F:B5:95:87:E4:AF:7F:73:42:03:B1:D9:03:35:65:A6:48) was successfully sent to the agent. TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-04 15:53:06\tSyslog.Info\t172.20.0.10\tAug  4 15:53:02 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '720', 'Policy Sent', '3', 'src=172.20.0.10 suser=System target=172.19.0.35 msg=The policy (fingerprint DD:EC:8D:26:9D:5F:8B:9A:99:A4:BB:FC:95:7D:5F:9F:B3:41:5C:6A) was successfully sent to the agent. TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-04 15:53:06\tSyslog.Info\t172.20.0.10\tAug  4 15:53:05 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '720', 'Policy Sent', '3', 'src=172.20.0.10 suser=System target=192.168.10.220 msg=The policy (fingerprint 38:88:6F:9D:3E:53:1B:58:86:D1:55:31:8E:7C:DB:EE:9D:3D:D6:C0) was successfully sent to the agent. TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-04 15:53:26\tSyslog.Info\t172.20.0.10\tAug  4 15:53:23 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '720', 'Policy Sent', '3', 'src=172.20.0.10 suser=System target=172.19.0.33 msg=The policy (fingerprint E9:99:E7:47:AC:85:F6:15:A9:F0:15:8A:4C:60:B3:1B:9B:B0:98:58) was successfully sent to the agent. TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-04 15:53:26\tSyslog.Info\t172.20.0.10\tAug  4 15:53:24 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '720', 'Policy Sent', '3', 'src=172.20.0.10 suser=System target=172.20.0.30 (FS) msg=The policy (fingerprint A5:B5:48:87:33:C1:1F:BE:D4:0B:9B:52:11:30:22:6C:7B:FF:C5:97) was successfully sent to the agent. TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-04 15:53:26\tSyslog.Info\t172.20.0.10\tAug  4 15:53:24 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '720', 'Policy Sent', '3', 'src=172.20.0.10 suser=System target=192.168.90.12 msg=The policy (fingerprint 3A:03:2F:D0:92:74:B8:3C:57:FE:80:EB:C2:90:12:2A:4B:B6:A2:03) was successfully sent to the agent. TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-04 15:53:26\tSyslog.Info\t172.20.0.10\tAug  4 15:53:24 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '720', 'Policy Sent', '3', 'src=172.20.0.10 suser=System target=192.168.90.10 msg=The policy (fingerprint 4E:57:1E:DA:E9:9A:4D:DD:97:11:10:39:F3:8B:0A:31:43:33:0B:92) was successfully sent to the agent. TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-04 15:53:26\tSyslog.Info\t172.20.0.10\tAug  4 15:53:24 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '720', 'Policy Sent', '3', 'src=172.20.0.10 suser=System target=172.20.0.20 (AD) msg=The policy (fingerprint EC:56:93:01:04:8E:79:61:80:36:AC:96:AA:5A:6A:5B:E3:03:64:0D) was successfully sent to the agent. TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-04 15:53:26\tSyslog.Info\t172.20.0.10\tAug  4 15:53:24 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '720', 'Policy Sent', '3', 'src=172.20.0.10 suser=System target=192.168.90.11 msg=The policy (fingerprint 9C:B2:E7:0D:68:2A:B0:0A:5A:F1:DA:95:C9:ED:0D:43:0F:59:7D:75) was successfully sent to the agent. TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-04 15:53:26\tSyslog.Info\t172.20.0.10\tAug  4 15:53:25 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '720', 'Policy Sent', '3', 'src=172.20.0.10 suser=System target=172.19.0.36 msg=The policy (fingerprint 9D:27:03:CF:AF:D0:4D:56:07:93:B1:1F:6D:7C:77:C9:99:5C:1B:D9) was successfully sent to the agent. TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-04 15:53:26\tSyslog.Info\t172.20.0.10\tAug  4 15:53:25 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '720', 'Policy Sent', '3', 'src=172.20.0.10 suser=System target=172.19.0.34 msg=The policy (fingerprint 21:EC:0F:97:A7:A6:43:A0:B0:FC:98:05:76:2D:3B:81:16:EC:CA:8A) was successfully sent to the agent. TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-04 15:53:26\tSyslog.Info\t172.20.0.10\tAug  4 15:53:25 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '720', 'Policy Sent', '3', 'src=172.20.0.10 suser=System target=172.19.0.38 msg=The policy (fingerprint 26:5C:34:89:F8:10:18:2A:BB:08:9B:96:AB:B5:13:2E:B5:F2:80:54) was successfully sent to the agent. TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-04 15:53:26\tSyslog.Info\t172.20.0.10\tAug  4 15:53:25 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '720', 'Policy Sent', '3', 'src=172.20.0.10 suser=System target=172.19.0.37 msg=The policy (fingerprint A4:CC:83:08:C9:04:05:33:18:6F:7D:66:31:08:B3:71:73:0F:D8:BF) was successfully sent to the agent. TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-04 15:53:26\tSyslog.Info\t172.20.0.10\tAug  4 15:53:25 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '720', 'Policy Sent', '3', 'src=172.20.0.10 suser=System target=172.19.0.32 msg=The policy (fingerprint 67:78:29:22:28:D8:A2:FF:C6:D3:BE:68:A1:EC:76:0C:22:14:51:29) was successfully sent to the agent. TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-04 15:53:26\tSyslog.Info\t172.20.0.10\tAug  4 15:53:25 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '720', 'Policy Sent', '3', 'src=172.20.0.10 suser=System target=192.168.80.2 msg=The policy (fingerprint EC:FB:3F:F2:72:74:FB:0F:48:1B:FA:99:12:00:81:38:67:41:8F:48) was successfully sent to the agent. TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-04 15:53:26\tSyslog.Info\t172.20.0.10\tAug  4 15:53:26 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '720', 'Policy Sent', '3', 'src=172.20.0.10 suser=System target=172.19.0.35 msg=The policy (fingerprint B0:09:F2:7B:25:93:83:D5:20:E9:52:F9:F6:C4:B6:AF:B8:10:2F:FC) was successfully sent to the agent. TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-04 15:53:26\tSyslog.Info\t172.20.0.10\tAug  4 15:53:26 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '720', 'Policy Sent', '3', 'src=172.20.0.10 suser=System target=172.19.0.39 msg=The policy (fingerprint BA:E1:F4:E5:40:D1:B8:8D:B3:37:76:30:0F:AD:69:C1:B1:82:29:2D) was successfully sent to the agent. TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-04 15:53:31\tSyslog.Info\t172.20.0.10\tAug  4 15:53:29 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '720', 'Policy Sent', '3', 'src=172.20.0.10 suser=System target=192.168.10.220 msg=The policy (fingerprint 3C:27:0A:EB:DD:04:D0:49:C7:13:C3:CE:B4:BC:75:53:F2:ED:D0:57) was successfully sent to the agent. TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
