['2021-08-04 10:31:47\tSyslog.Info\t172.20.0.10\t2021-08-04T10:31:41+05:00 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '927', 'Smart Protection Server Connected for Smart Scan', '3', 'src=172.20.0.10 suser=System target=192.168.90.11 msg=Smart Protection Server Connected for Smart Scan TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-04 10:31:50\tSyslog.Info\t172.20.0.10\t2021-08-04T10:31:49+05:00 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '927', 'Smart Protection Server Connected for Smart Scan', '3', 'src=172.20.0.10 suser=System target=192.168.90.11 msg=Smart Protection Server Connected for Smart Scan TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-04 14:21:58\tSyslog.Info\t172.20.0.10\t2021-08-04T14:21:56+05:00 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '927', 'Smart Protection Server Connected for Smart Scan', '3', 'src=172.20.0.10 suser=System target=192.168.90.11 msg=Smart Protection Server Connected for Smart Scan TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-04 14:22:08\tSyslog.Info\t172.20.0.10\t2021-08-04T14:22:04+05:00 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '927', 'Smart Protection Server Connected for Smart Scan', '3', 'src=172.20.0.10 suser=System target=192.168.90.11 msg=Smart Protection Server Connected for Smart Scan TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-04 15:25:49\tSyslog.Info\t172.20.0.10\t2021-08-04T15:25:48+05:00 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '927', 'Smart Protection Server Connected for Smart Scan', '3', 'src=172.20.0.10 suser=System target=192.168.90.11 msg=Smart Protection Server Connected for Smart Scan TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-04 15:26:00\tSyslog.Info\t172.20.0.10\t2021-08-04T15:25:54+05:00 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '927', 'Smart Protection Server Connected for Smart Scan', '3', 'src=172.20.0.10 suser=System target=192.168.90.11 msg=Smart Protection Server Connected for Smart Scan TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-04 15:53:06\tSyslog.Info\t172.20.0.10\tAug  4 15:53:02 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '927', 'Smart Protection Server Connected for Smart Scan', '3', 'src=172.20.0.10 suser=System target=172.19.0.34 msg=Smart Protection Server Connected for Smart Scan TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-04 15:53:06\tSyslog.Info\t172.20.0.10\tAug  4 15:53:03 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '927', 'Smart Protection Server Connected for Smart Scan', '3', 'src=172.20.0.10 suser=System target=172.19.0.36 msg=Smart Protection Server Connected for Smart Scan TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-04 15:53:06\tSyslog.Info\t172.20.0.10\tAug  4 15:53:04 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '927', 'Smart Protection Server Connected for Smart Scan', '3', 'src=172.20.0.10 suser=System target=172.19.0.32 msg=Smart Protection Server Connected for Smart Scan TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-04 15:53:06\tSyslog.Info\t172.20.0.10\tAug  4 15:53:04 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '927', 'Smart Protection Server Connected for Smart Scan', '3', 'src=172.20.0.10 suser=System target=172.19.0.35 msg=Smart Protection Server Connected for Smart Scan TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-04 15:53:06\tSyslog.Info\t172.20.0.10\tAug  4 15:53:05 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '927', 'Smart Protection Server Connected for Smart Scan', '3', 'src=172.20.0.10 suser=System target=192.168.90.10 msg=Smart Protection Server Connected for Smart Scan TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-04 15:53:06\tSyslog.Info\t172.20.0.10\tAug  4 15:53:05 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '927', 'Smart Protection Server Connected for Smart Scan', '3', 'src=172.20.0.10 suser=System target=172.19.0.39 msg=Smart Protection Server Connected for Smart Scan TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-04 15:53:11\tSyslog.Info\t172.20.0.10\tAug  4 15:53:06 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '927', 'Smart Protection Server Connected for Smart Scan', '3', 'src=172.20.0.10 suser=System target=192.168.90.11 msg=Smart Protection Server Connected for Smart Scan TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-04 15:53:11\tSyslog.Info\t172.20.0.10\tAug  4 15:53:06 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '927', 'Smart Protection Server Connected for Smart Scan', '3', 'src=172.20.0.10 suser=System target=172.19.0.37 msg=Smart Protection Server Connected for Smart Scan TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-04 15:53:11\tSyslog.Info\t172.20.0.10\tAug  4 15:53:06 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '927', 'Smart Protection Server Connected for Smart Scan', '3', 'src=172.20.0.10 suser=System target=192.168.90.12 msg=Smart Protection Server Connected for Smart Scan TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-04 15:53:11\tSyslog.Info\t172.20.0.10\tAug  4 15:53:06 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '927', 'Smart Protection Server Connected for Smart Scan', '3', 'src=172.20.0.10 suser=System target=172.19.0.38 msg=Smart Protection Server Connected for Smart Scan TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-04 15:53:11\tSyslog.Info\t172.20.0.10\tAug  4 15:53:08 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '927', 'Smart Protection Server Connected for Smart Scan', '3', 'src=172.20.0.10 suser=System target=172.19.0.33 msg=Smart Protection Server Connected for Smart Scan TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-04 15:53:11\tSyslog.Info\t172.20.0.10\tAug  4 15:53:09 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '927', 'Smart Protection Server Connected for Smart Scan', '3', 'src=172.20.0.10 suser=System target=192.168.10.220 msg=Smart Protection Server Connected for Smart Scan TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-04 15:53:26\tSyslog.Info\t172.20.0.10\tAug  4 15:53:26 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '927', 'Smart Protection Server Connected for Smart Scan', '3', 'src=172.20.0.10 suser=System target=172.19.0.33 msg=Smart Protection Server Connected for Smart Scan TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-04 15:53:31\tSyslog.Info\t172.20.0.10\tAug  4 15:53:27 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '927', 'Smart Protection Server Connected for Smart Scan', '3', 'src=172.20.0.10 suser=System target=172.19.0.38 msg=Smart Protection Server Connected for Smart Scan TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-04 15:53:31\tSyslog.Info\t172.20.0.10\tAug  4 15:53:27 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '927', 'Smart Protection Server Connected for Smart Scan', '3', 'src=172.20.0.10 suser=System target=192.168.90.12 msg=Smart Protection Server Connected for Smart Scan TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-04 15:53:31\tSyslog.Info\t172.20.0.10\tAug  4 15:53:27 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '927', 'Smart Protection Server Connected for Smart Scan', '3', 'src=172.20.0.10 suser=System target=172.19.0.32 msg=Smart Protection Server Connected for Smart Scan TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-04 15:53:31\tSyslog.Info\t172.20.0.10\tAug  4 15:53:27 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '927', 'Smart Protection Server Connected for Smart Scan', '3', 'src=172.20.0.10 suser=System target=172.19.0.37 msg=Smart Protection Server Connected for Smart Scan TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-04 15:53:31\tSyslog.Info\t172.20.0.10\tAug  4 15:53:27 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '927', 'Smart Protection Server Connected for Smart Scan', '3', 'src=172.20.0.10 suser=System target=192.168.90.10 msg=Smart Protection Server Connected for Smart Scan TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-04 15:53:31\tSyslog.Info\t172.20.0.10\tAug  4 15:53:28 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '927', 'Smart Protection Server Connected for Smart Scan', '3', 'src=172.20.0.10 suser=System target=172.19.0.34 msg=Smart Protection Server Connected for Smart Scan TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-04 15:53:31\tSyslog.Info\t172.20.0.10\tAug  4 15:53:28 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '927', 'Smart Protection Server Connected for Smart Scan', '3', 'src=172.20.0.10 suser=System target=172.19.0.36 msg=Smart Protection Server Connected for Smart Scan TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-04 15:53:31\tSyslog.Info\t172.20.0.10\tAug  4 15:53:28 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '927', 'Smart Protection Server Connected for Smart Scan', '3', 'src=172.20.0.10 suser=System target=192.168.80.2 msg=Smart Protection Server Connected for Smart Scan TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-04 15:53:31\tSyslog.Info\t172.20.0.10\tAug  4 15:53:28 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '927', 'Smart Protection Server Connected for Smart Scan', '3', 'src=172.20.0.10 suser=System target=172.19.0.35 msg=Smart Protection Server Connected for Smart Scan TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-04 15:53:31\tSyslog.Info\t172.20.0.10\tAug  4 15:53:29 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '927', 'Smart Protection Server Connected for Smart Scan', '3', 'src=172.20.0.10 suser=System target=172.19.0.39 msg=Smart Protection Server Connected for Smart Scan TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-04 15:53:31\tSyslog.Info\t172.20.0.10\tAug  4 15:53:30 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '927', 'Smart Protection Server Connected for Smart Scan', '3', 'src=172.20.0.10 suser=System target=192.168.90.11 msg=Smart Protection Server Connected for Smart Scan TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-04 15:53:37\tSyslog.Info\t172.20.0.10\tAug  4 15:53:33 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '927', 'Smart Protection Server Connected for Smart Scan', '3', 'src=172.20.0.10 suser=System target=192.168.10.220 msg=Smart Protection Server Connected for Smart Scan TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
