Event Name,Log Generation Date,Source Host Name,Target Process,File Name,Device Type,Permission
Device Access,Jul 14 2020 10:21:00 GMT+00:00,FARHANWALI-PC,,,1,4
Device Access,Jul 14 2020 10:21:06 GMT+00:00,FARHANWALI-PC,,,1,4
Device Access,Jul 14 2020 09:53:49 GMT+00:00,FARHAN-QA,C:\Windows\explorer.exe,E:\Autorun.inf,2,3
Device Access,Jul 14 2020 09:53:55 GMT+00:00,FARHAN-QA,C:\Windows\explorer.exe,E:\autorun.inf,2,3
Device Access,Jul 14 2020 09:54:23 GMT+00:00,FARHAN-QA,,,1,4
Device Access,Jul 14 2020 09:54:26 GMT+00:00,FARHAN-QA,,,1,4
Device Access,Jul 14 2020 09:54:41 GMT+00:00,FARHAN-QA,,,1,4
Device Access,Jul 14 2020 09:55:22 GMT+00:00,FARHAN-QA,,,1,4
Device Access,Jul 14 2020 09:55:26 GMT+00:00,FARHAN-QA,,,1,4
Device Access,Jul 14 2020 09:55:36 GMT+00:00,FARHAN-QA,,,1,4
Device Access,Jul 14 2020 09:59:11 GMT+00:00,FARHAN-QA,,,1,4
Device Access,Jul 14 2020 10:02:01 GMT+00:00,FARHAN-QA,C:\Windows\explorer.exe,E:\AutoRun.inf,2,3
Device Access,Jul 14 2020 10:05:20 GMT+00:00,FARHAN-QA,,,1,4
Device Access,Jul 14 2020 10:10:57 GMT+00:00,FARHAN-QA,,,1,4
Device Access,Jul 14 2020 10:35:21 GMT+00:00,FARHAN-QA,,,1,4
Device Access,Jul 14 2020 10:35:21 GMT+00:00,FARHAN-QA,,,1,4
Device Access,Jul 14 2020 11:28:09 GMT+00:00,FARHANWALI-PC,,,1,4
Device Access,Jul 14 2020 11:41:25 GMT+00:00,FARHANWALI-PC,,,1,4
Device Access,Jul 14 2020 11:41:53 GMT+00:00,FARHANWALI-PC,,,1,4
Device Access,Jul 14 2020 11:42:09 GMT+00:00,FARHANWALI-PC,,,1,4
Device Access,Jul 14 2020 11:43:18 GMT+00:00,FARHANWALI-PC,,,1,4
Device Access,Jul 14 2020 11:44:50 GMT+00:00,FARHANWALI-PC,,,1,4
Device Access,Jul 14 2020 11:44:54 GMT+00:00,FARHANWALI-PC,,,1,4
Device Access,Jul 14 2020 11:51:36 GMT+00:00,FARHANWALI-PC,,,1,4
Device Access,Jul 14 2020 11:53:41 GMT+00:00,FARHANWALI-PC,,,1,4
Device Access,Jul 14 2020 11:54:43 GMT+00:00,FARHANWALI-PC,,,1,4
Device Access,Jul 14 2020 11:57:23 GMT+00:00,FARHANWALI-PC,,,1,4
Device Access,Jul 14 2020 11:59:39 GMT+00:00,FARHANWALI-PC,,,1,4
Device Access,Jul 14 2020 12:00:29 GMT+00:00,FARHANWALI-PC,,,1,4
Device Access,Jul 14 2020 12:04:47 GMT+00:00,FARHANWALI-PC,,,1,4
Device Access,Jul 14 2020 12:05:00 GMT+00:00,FARHANWALI-PC,,,1,4
Device Access,Jul 14 2020 12:05:10 GMT+00:00,FARHANWALI-PC,,,1,4
Device Access,Jul 14 2020 12:06:51 GMT+00:00,FARHANWALI-PC,,,1,4
Device Access,Jul 14 2020 12:08:22 GMT+00:00,FARHANWALI-PC,,,1,4
Device Access,Jul 14 2020 12:08:32 GMT+00:00,FARHANWALI-PC,,,1,4
Device Access,Jul 14 2020 12:10:43 GMT+00:00,FARHANWALI-PC,,,1,4
Device Access,Jul 14 2020 12:13:58 GMT+00:00,FARHANWALI-PC,,,1,4
Device Access,Jul 14 2020 12:21:19 GMT+00:00,FARHANWALI-PC,,,1,4
Device Access,Jul 14 2020 12:28:17 GMT+00:00,FARHANWALI-PC,,,1,4
Device Access,Jul 14 2020 12:29:39 GMT+00:00,FARHANWALI-PC,,,1,4
Device Access,Jul 14 2020 12:29:47 GMT+00:00,FARHANWALI-PC,,,1,4
Device Access,Jul 14 2020 12:30:20 GMT+00:00,FARHANWALI-PC,,,1,4
Device Access,Jul 14 2020 12:30:27 GMT+00:00,FARHANWALI-PC,,,1,4
Device Access,Jul 14 2020 10:28:00 GMT+00:00,FLEXIDESPATCH,,,1,4
